trophospecies_id,sp_name,guild,n_lumped
1,1,terrestrial detritus,1
2,2,land plants,1
3,3,land plants,1
4,4,land plants,1
5,5,land plants,1
6,6,land plants,1
7,7,land plants,1
8,8,land plants,1
9,9,land plants,1
10,10,terrestrial heterotroph microbes,1
11,11,terrestrial heterotroph microbes,1
12,12;19;21;23,terrestrial saprotrophs,4
13,13,terrestrial saprotrophs,1
14,14;24,terrestrial saprotrophs,2
15,15,terrestrial saprotrophs,1
16,16,terrestrial saprotrophs,1
17,17;25,terrestrial saprotrophs,2
18,18,terrestrial saprotrophs,1
20,20;22;36,terrestrial saprotrophs,3
26,26,terrestrial saprotrophs,1
27,27,terrestrial saprotrophs,1
28,28,terrestrial saprotrophs,1
29,29,mycorrhizae,1
30,30,mycorrhizae,1
31,31,mycorrhizae,1
32,32;33,mycorrhizae,2
34,34,mycorrhizae,1
35,35,mycorrhizae,1
37,37,mycorrhizae,1
38,38,plant parasites,1
39,39,plant parasites,1
40,40,plant parasites,1
41,41,plant parasites,1
42,42,plant parasites,1
43,43,plant parasites,1
44,44,plant parasites,1
45,45,fungal parasites,1
46,46,fungal parasites,1
47,47,fungal parasites,1
48,48,terrestrial microbivores,1
49,49,terrestrial detritivores,1
50,50,terrestrial detritivores,1
51,51,mites,1
52,52,mites,1
53,53,terrestrial arthropod predators (1),1
54,54,terrestrial arthropod predators (1),1
55,55,terrestrial arthropod predators (1),1
56,56,terrestrial arthropod predators (2),1
57,57,terrestrial arthropod predators (2),1
58,58;59;60,terrestrial arthropod predators (2),3
61,61,aquatic detritus,1
62,62,aquatic heterotroph microbes,1
63,63,aquatic heterotroph microbes,1
64,64,aquatic heterotroph microbes,1
65,65,aquatic unicellular/small algae,1
66,66,aquatic unicellular/small algae,1
67,67,aquatic unicellular/small algae,1
68,68,aquatic unicellular/small algae,1
69,69,aquatic unicellular/small algae,1
70,70,planktic large colonial algae,1
71,71;74,benthic filamentous algae,2
72,72;75;80,benthic filamentous algae,3
73,73;76;77,benthic filamentous algae,3
78,78,other benthic/epiphytic algae,1
79,79,other benthic/epiphytic algae,1
81,81,partially terrestrial epilithic/epiphytic algae,1
82,82,partially terrestrial epilithic/epiphytic algae,1
83,83,partially terrestrial epilithic/epiphytic algae,1
84,84;87,aquatic saprotrophs,2
85,85;86,aquatic saprotrophs,2
88,88,small algae parasites,1
89,89,aquatic macrophyte parasites,1
90,90,nematodes,1
91,91,swimming filter feeders,1
92,92,swimming filter feeders,1
93,93,swimming scrapers,1
94,94,arthropod  omnivores,1
95,95,arthropod  omnivores,1
96,96,benthic predators,1
