trophospecies_id,sp_name,guild,n_lumped,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain
1,      1 Entomobrya corticola;      2 E. ligata;      3 Entomobrya sp.;      4 Pseudachorutes sp.;      5 Isotoma sensibilis;      6 Tomocera flavescens;     72 uropodid sp.,      1 Entomobrya corticola,7,1,1,3.0,2.0
7,      7 Parcoblatta sp.;      9 Epiptera sp.;     11 Erchomus ventriculus;     15 Plegaderus sp.;     18 Boros unicolor larvae;     22 Melanotus sp. larvae;     23 Elater verticinus;     31 Brontes dubius;     32 Mycetophagus pini;     33 Colopterus semitectus;     34 Stelidota geminata;     35 Bolitotherus cornutus;     36 Platydema flavipes;     46 Rhyncolus sp.;     47 Cossonus corticola,      7 Parcoblatta sp.,15,1,0,3.0,2.0
8,      8 heteropteran (undet.);     13 Platysoma parallelum;     17 Thanasimus dubius,      8 heteropteran (undet.),3,2,0,3.666666666666667,3.0
10,     10 Tachymenis flavicauda,     10 Tachymenis flavicauda,1,1,0,4.0,3.0
12,     12 Saprinus sp.,     12 Saprinus sp.,1,5,0,3.857142857142857,3.0
14,     14 P. lecontei,     14 P. lecontei,1,1,0,4.0,3.0
16,     16 Cylistix cylindrica,     16 Cylistix cylindrica,1,1,0,4.0,3.0
19,     19 Dendroides bicolor larvae,     19 Dendroides bicolor larvae,1,1,1,3.0,2.0
20,     20 Alaus myops larvae,     20 Alaus myops larvae,1,4,0,3.4,3.0
21,     21 Ischiodontus sp. larvae;     24 Drapites sp. larvae;     40 Xylotrechus sagittatus larvae;     43 A. nodosus larvae;     44 Eupogonius tomentosus larvae;     49 Pachylobins picivorus larvae;     50 Hylobius pales larvae,     21 Ischiodontus sp. larvae,7,1,0,2.0,1.0
25,     25 Buprestis lineata larvae;     26 Buprestis sp. larvae;     38 Asemum moestum larvae,     25 Buprestis lineata larvae,3,2,0,2.0,1.0
27,     27 Chalcophora sp. larvae;     28 Chrysobothris sp. larvae,     27 Chalcophora sp. larvae,2,1,2,2.0,1.0
29,     29 Temnochila virescens,     29 Temnochila virescens,1,4,0,3.666666666666667,3.0
30,     30 Rhizophagus cylindricus,     30 Rhizophagus cylindricus,1,4,0,3.666666666666667,3.0
37,     37 Stephanopachys rugosus larvae;     65 Sirex nigricornia larvae,     37 Stephanopachys rugosus larvae,2,1,0,2.0,1.0
39,     39 Rhagium lineatum larvae,     39 Rhagium lineatum larvae,1,1,2,2.0,1.0
41,     41 Callidium antennatum larvae,     41 Callidium antennatum larvae,1,1,1,2.0,1.0
42,     42 Acanthocinus obsoletus larvae,     42 Acanthocinus obsoletus larvae,1,1,1,2.0,1.0
45,     45 Monochammus titillator larvae,     45 Monochammus titillator larvae,1,1,2,2.0,1.0
48,     48 Pissodes memorensis larvae,     48 Pissodes memorensis larvae,1,1,1,2.0,1.0
51,     51 Platypus flavicornis,     51 Platypus flavicornis,1,1,2,3.0,2.0
52,     52 Ips grandicollis;     53 I. calligraphus;     55 Orthotomicus coelatus;     56 Pithyophthorus annectens;     57 P. pullus;     58 Dendroctonus valens;     59 D. tenebrans,     52 Ips grandicollis,7,1,3,2.0,1.0
54,     54 Xyleborus fitchi,     54 Xyleborus fitchi,1,1,3,3.0,2.0
60,     60 Sciara coprophila larvae,     60 Sciara coprophila larvae,1,1,1,2.0,1.0
61,     61 Xylophagus fasciatus larvae,     61 Xylophagus fasciatus larvae,1,1,1,3.0,2.0
62,     62 Lonchaea sp. larvae,     62 Lonchaea sp. larvae,1,1,2,3.0,2.0
63,     63 Theresia monohammi larvae;     64 Sarcophaga sp. larvae,     63 Theresia monohammi larvae,2,1,1,3.0,2.0
66,     66 Orussus sp. larvae,     66 Orussus sp. larvae,1,1,0,3.0,2.0
67,     67 Coeloides pissodis larvae,     67 Coeloides pissodis larvae,1,1,0,3.0,2.0
68,     68 Camponotus herculeanus;     69 Leptinothorax curvispinosus;     70 Ponera coarctata;     71 Lasius umbratus;     73 Parasitus sp.;     74 Dendrolaelaps sp.;     75 Pergamasus sp.;     76 Geophilus varians;     77 Linotaenia bidens;     78 Cryptops hyalina;     79 Bothropolys multidentatus;     80 Chelanops oblongus;     81 C. virginnae;     82 Chelifer cancroides,     68 Camponotus herculeanus,14,1,0,3.0,2.0
83,     83 various larvae (unsp.),     83 various larvae (unsp.),1,3,1,2.5,1.0
84,     84 chironomid larvae;     85 cecidomyid larvae;     86 dolicopodid larvae,     84 chironomid larvae,3,1,2,3.0,2.0
87,     87 dead cerambycid detritus,     87 dead cerambycid detritus,1,0,1,1.0,0.0
88,     88 phloem (Pinus spp.),     88 phloem (Pinus spp.),1,0,11,1.0,0.0
89,     89 sapwood detritus,     89 sapwood detritus,1,0,4,1.0,0.0
90,     90 fungi,     90 fungi,1,2,8,2.0,1.0
