trophospecies_id,sp_name,guild,n_lumped,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain,sp_out_closeness,sp_in_closeness,guild_ntp,guild_out_closeness,guild_in_closeness
1,1,terrestrial detritus,1,0,29,1.0,0.0,0.9714285714285714,0.0,1.0,0.9714285714285714,0.0
2,2,Aglaophyton,1,0,13,1.0,0.0,1.511111111111111,0.0,1.0,1.511111111111111,0.0
3,3,Rhynia,1,0,9,1.0,0.0,1.36,0.0,1.0,1.36,0.0
4,4,Asteroxylon,1,0,9,1.0,0.0,1.2363636363636363,0.0,1.0,1.2363636363636363,0.0
5,5,Horneophyton,1,0,10,1.0,0.0,1.2830188679245282,0.0,1.0,1.2830188679245282,0.0
6,6,Nothia,1,0,10,1.0,0.0,1.36,0.0,1.0,1.36,0.0
7,7,other land plants,1,0,7,1.0,0.0,1.2592592592592593,0.0,1.0,1.337962962962963,0.0
8,8,other land plants,1,0,10,1.0,0.0,1.4166666666666667,0.0,1.0,1.337962962962963,0.0
9,9,lichen,1,0,4,1.0,0.0,1.5813953488372092,0.0,1.0,1.5813953488372092,0.0
10,10,terrestrial heterotroph bacteria,1,1,5,2.0,1.0,2.72,68.0,2.0,2.72,68.0
11,11,terrestrial protozoa,1,24,1,3.2531645569620253,3.0,3.5789473684210527,0.8831168831168831,3.2531645569620253,3.5789473684210527,0.8831168831168831
12,12,terrestrial saprotrophs,1,1,4,2.0,1.0,2.3448275862068964,68.0,2.0,2.3577222846013557,68.0
13,13,terrestrial saprotrophs,1,1,3,2.0,1.0,2.2666666666666666,68.0,2.0,2.3577222846013557,68.0
14,14,terrestrial saprotrophs,1,1,8,2.0,1.0,2.4285714285714284,68.0,2.0,2.3577222846013557,68.0
15,15,terrestrial saprotrophs,1,1,6,2.0,1.0,2.8333333333333335,68.0,2.0,2.3577222846013557,68.0
16,16,terrestrial saprotrophs,1,1,6,2.0,1.0,2.0,68.0,2.0,2.3577222846013557,68.0
17,17,terrestrial saprotrophs,1,1,5,2.0,1.0,2.4285714285714284,68.0,2.0,2.3577222846013557,68.0
18,18,terrestrial saprotrophs,1,1,8,2.0,1.0,2.0,68.0,2.0,2.3577222846013557,68.0
19,19,terrestrial saprotrophs,1,1,4,2.0,1.0,2.6153846153846154,68.0,2.0,2.3577222846013557,68.0
20,20,terrestrial saprotrophs,1,1,6,2.0,1.0,2.193548387096774,68.0,2.0,2.3577222846013557,68.0
21,21,terrestrial saprotrophs,1,1,8,2.0,1.0,2.4285714285714284,68.0,2.0,2.3577222846013557,68.0
22,22,terrestrial saprotrophs,1,1,6,2.0,1.0,2.2666666666666666,68.0,2.0,2.3577222846013557,68.0
23,23,terrestrial saprotrophs,1,1,5,2.0,1.0,2.4285714285714284,68.0,2.0,2.3577222846013557,68.0
24,24,terrestrial saprotrophs,1,1,7,2.0,1.0,2.4285714285714284,68.0,2.0,2.3577222846013557,68.0
25,25,terrestrial saprotrophs,1,1,5,2.0,1.0,2.3448275862068964,68.0,2.0,2.3577222846013557,68.0
26,26,mycorrhizae: Aglaophyton,1,1,1,2.0,1.0,68.0,68.0,2.0,24.36666666666667,35.88888888888889
27,27,mycorrhizae: Aglaophyton,1,3,2,2.0,1.0,3.4,22.666666666666668,2.0,24.36666666666667,35.88888888888889
