trophospecies_id,sp_name,guild,n_lumped
1,1,terrestrial detritus,1
2,2,land plants,1
3,3,land plants,1
4,4,land plants,1
5,5,land plants,1
6,6,land plants,1
7,7,land plants,1
8,8,land plants,1
9,9,land plants,1
10,10,terrestrial heterotroph microbes,1
11,11,terrestrial heterotroph microbes,1
12,12;26,terrestrial saprotrophs,2
13,13,terrestrial saprotrophs,1
14,14,terrestrial saprotrophs,1
15,15,terrestrial saprotrophs,1
16,16,terrestrial saprotrophs,1
17,17,terrestrial saprotrophs,1
18,18,terrestrial saprotrophs,1
19,19,terrestrial saprotrophs,1
20,20,terrestrial saprotrophs,1
21,21,terrestrial saprotrophs,1
22,22;24,terrestrial saprotrophs,2
23,23,terrestrial saprotrophs,1
25,25,terrestrial saprotrophs,1
27,27,mycorrhizae,1
28,28,mycorrhizae,1
29,29,mycorrhizae,1
30,30,mycorrhizae,1
31,31,mycorrhizae,1
32,32,mycorrhizae,1
33,33,mycorrhizae,1
34,34,mycorrhizae,1
35,35,mycorrhizae,1
36,36,plant parasites,1
37,37,plant parasites,1
38,38,plant parasites,1
39,39,plant parasites,1
40,40,plant parasites,1
41,41,plant parasites,1
42,42,plant parasites,1
43,43,fungal parasites,1
44,44,fungal parasites,1
45,45,fungal parasites,1
46,46,terrestrial microbivores,1
47,47,terrestrial detritivores,1
48,48,terrestrial detritivores,1
49,49,mites,1
50,50,mites,1
51,51,terrestrial arthropod predators (1),1
52,52,terrestrial arthropod predators (1),1
53,53,terrestrial arthropod predators (1),1
54,54,terrestrial arthropod predators (2),1
55,55,terrestrial arthropod predators (2),1
56,56,terrestrial arthropod predators (2),1
57,57,terrestrial arthropod predators (2),1
58,58,terrestrial arthropod predators (2),1
59,59,partially terrestrial epilithic/epiphytic algae,1
60,60,partially terrestrial epilithic/epiphytic algae,1
61,61,partially terrestrial epilithic/epiphytic algae,1
62,62,nematodes,1
