sp_name,g,guild_no,guild_richness,guild_no_prey,guild_no_preds,terr,aqu,sp_no_prey,sp_no_preds
1,terrestrial detritus,1,1,0,39,1,0,0,25
2,land plants,2,8,0,19,1,0,0,9
3,land plants,2,8,0,19,1,0,0,7
4,land plants,2,8,0,19,1,0,0,12
5,land plants,2,8,0,19,1,0,0,9
6,land plants,2,8,0,19,1,0,0,10
7,land plants,2,8,0,19,1,0,0,12
8,land plants,2,8,0,19,1,0,0,7
9,land plants,2,8,0,19,1,0,0,9
10,terrestrial heterotroph microbes,3,2,3,6,1,0,1,4
11,terrestrial heterotroph microbes,3,2,3,6,1,0,1,3
12,terrestrial saprotrophs,4,17,1,7,1,0,1,4
13,terrestrial saprotrophs,4,17,1,7,1,0,1,3
14,terrestrial saprotrophs,4,17,1,7,1,0,1,3
15,terrestrial saprotrophs,4,17,1,7,1,0,1,3
16,terrestrial saprotrophs,4,17,1,7,1,0,1,1
17,terrestrial saprotrophs,4,17,1,7,1,0,1,3
18,terrestrial saprotrophs,4,17,1,7,1,0,1,4
19,terrestrial saprotrophs,4,17,1,7,1,0,1,2
20,terrestrial saprotrophs,4,17,1,7,1,0,1,4
21,terrestrial saprotrophs,4,17,1,7,1,0,1,2
22,terrestrial saprotrophs,4,17,1,7,1,0,1,3
23,terrestrial saprotrophs,4,17,1,7,1,0,1,3
24,terrestrial saprotrophs,4,17,1,7,1,0,1,2
25,terrestrial saprotrophs,4,17,1,7,1,0,1,4
26,terrestrial saprotrophs,4,17,1,7,1,0,1,2
27,terrestrial saprotrophs,4,17,1,7,1,0,1,3
28,terrestrial saprotrophs,4,17,1,7,1,0,1,3
29,mycorrhizae,5,9,9,7,1,0,7,2
30,mycorrhizae,5,9,9,7,1,0,1,1
31,mycorrhizae,5,9,9,7,1,0,2,4
32,mycorrhizae,5,9,9,7,1,0,9,2
33,mycorrhizae,5,9,9,7,1,0,9,3
34,mycorrhizae,5,9,9,7,1,0,4,2
35,mycorrhizae,5,9,9,7,1,0,5,4
36,mycorrhizae,5,9,9,7,1,0,1,2
37,mycorrhizae,5,9,9,7,1,0,7,2
38,plant parasites,6,7,9,7,1,0,3,2
39,plant parasites,6,7,9,7,1,0,4,5
40,plant parasites,6,7,9,7,1,0,1,1
41,plant parasites,6,7,9,7,1,0,3,2
42,plant parasites,6,7,9,7,1,0,9,3
43,plant parasites,6,7,9,7,1,0,9,4
44,plant parasites,6,7,9,7,1,0,1,4
45,fungal parasites,7,3,33,4,1,0,15,3
46,fungal parasites,7,3,33,4,1,0,1,2
47,fungal parasites,7,3,33,4,1,0,32,0
48,terrestrial microbivores,8,1,41,8,1,0,28,3
49,terrestrial detritivores,9,2,4,5,1,0,4,2
50,terrestrial detritivores,9,2,4,5,1,0,1,4
51,mites,10,2,51,8,1,0,9,6
52,mites,10,2,51,8,1,0,7,3
53,terrestrial arthropod predators (1),11,3,7,8,1,0,1,3
54,terrestrial arthropod predators (1),11,3,7,8,1,0,3,3
55,terrestrial arthropod predators (1),11,3,7,8,1,0,1,4
56,terrestrial arthropod predators (2),12,5,13,5,1,0,8,2
57,terrestrial arthropod predators (2),12,5,13,5,1,0,6,3
58,terrestrial arthropod predators (2),12,5,13,5,1,0,4,2
59,terrestrial arthropod predators (2),12,5,13,5,1,0,3,1
60,terrestrial arthropod predators (2),12,5,13,5,1,0,13,3
61,aquatic detritus,13,1,0,10,0,1,0,7
62,aquatic heterotroph microbes,14,3,9,7,0,1,9,3
63,aquatic heterotroph microbes,14,3,9,7,0,1,2,1
64,aquatic heterotroph microbes,14,3,9,7,0,1,1,4
65,aquatic unicellular/small algae,15,5,0,6,0,1,0,2
66,aquatic unicellular/small algae,15,5,0,6,0,1,0,3
67,aquatic unicellular/small algae,15,5,0,6,0,1,0,2
68,aquatic unicellular/small algae,15,5,0,6,0,1,0,3
69,aquatic unicellular/small algae,15,5,0,6,0,1,0,3
70,planktic large colonial algae,16,1,0,1,0,1,0,1
71,benthic filamentous algae,17,4,0,4,0,1,0,2
72,benthic filamentous algae,17,4,0,4,0,1,0,2
73,benthic filamentous algae,17,4,0,4,0,1,0,1
74,benthic filamentous algae,17,4,0,4,0,1,0,3
75,other benthic/epiphytic algae,18,5,0,5,0,1,0,4
76,other benthic/epiphytic algae,18,5,0,5,0,1,0,2
77,other benthic/epiphytic algae,18,5,0,5,0,1,0,3
78,other benthic/epiphytic algae,18,5,0,5,0,1,0,3
79,other benthic/epiphytic algae,18,5,0,5,0,1,0,2
80,macrophytic algae,19,1,0,4,0,1,0,3
81,partially terrestrial epilithic/epiphytic algae,20,3,0,10,1,1,0,4
82,partially terrestrial epilithic/epiphytic algae,20,3,0,10,1,1,0,4
83,partially terrestrial epilithic/epiphytic algae,20,3,0,10,1,1,0,3
84,aquatic saprotrophs,21,4,1,1,0,1,1,1
85,aquatic saprotrophs,21,4,1,1,0,1,1,0
86,aquatic saprotrophs,21,4,1,1,0,1,1,1
87,aquatic saprotrophs,21,4,1,1,0,1,1,0
88,small algae parasites,22,1,10,2,0,1,4,1
89,aquatic macrophyte parasites,23,1,8,1,0,1,6,0
90,nematodes,24,1,62,8,1,1,28,2
91,swimming filter feeders,25,2,9,2,0,1,2,1
92,swimming filter feeders,25,2,9,2,0,1,6,1
93,swimming scrapers,26,1,18,3,0,1,7,1
94,arthropod  omnivores,27,2,21,3,0,1,1,1
95,arthropod  omnivores,27,2,21,3,0,1,19,1
96,benthic predators,28,1,5,3,0,1,1,2
